interval_start_timestamp,speaking_minutes
2026-01-22T00:00:00+00:00,1056
2026-01-29T00:00:00+00:00,1180
2026-02-05T00:00:00+00:00,2676
2026-02-12T00:00:00+00:00,1155
2026-02-19T00:00:00+00:00,1789
2026-02-26T00:00:00+00:00,3091
2026-03-05T00:00:00+00:00,1402
2026-03-12T00:00:00+00:00,1258
2026-03-19T00:00:00+00:00,2329
2026-03-26T00:00:00+00:00,278
2026-04-02T00:00:00+00:00,530
2026-04-09T00:00:00+00:00,1705
2026-04-16T00:00:00+00:00,1885
2026-04-23T00:00:00+00:00,2058
2026-04-30T00:00:00+00:00,3239
2026-05-07T00:00:00+00:00,4133
2026-05-14T00:00:00+00:00,3096
2026-05-21T00:00:00+00:00,1472
