day_pt,discovery_joins,invites,vanity_joins,hubs_joins,bot_joins,integration_joins,other_joins,total_joins,interval_start_timestamp
2026-01-22T00:00:00+00:00,18,29,43,0,0,0,1,91,2026-01-22T00:00:00+00:00
2026-01-29T00:00:00+00:00,22,36,49,0,0,0,5,112,2026-01-29T00:00:00+00:00
2026-02-05T00:00:00+00:00,18,24,43,0,0,0,4,89,2026-02-05T00:00:00+00:00
2026-02-12T00:00:00+00:00,21,19,39,0,0,0,7,86,2026-02-12T00:00:00+00:00
2026-02-19T00:00:00+00:00,24,29,33,0,0,0,2,88,2026-02-19T00:00:00+00:00
2026-02-26T00:00:00+00:00,18,23,56,0,0,0,5,102,2026-02-26T00:00:00+00:00
2026-03-05T00:00:00+00:00,10,15,48,0,0,0,3,76,2026-03-05T00:00:00+00:00
2026-03-12T00:00:00+00:00,23,22,40,0,0,0,0,85,2026-03-12T00:00:00+00:00
2026-03-19T00:00:00+00:00,24,15,61,0,0,0,1,101,2026-03-19T00:00:00+00:00
2026-03-26T00:00:00+00:00,16,20,40,0,0,0,4,80,2026-03-26T00:00:00+00:00
2026-04-02T00:00:00+00:00,16,25,42,0,0,0,7,90,2026-04-02T00:00:00+00:00
2026-04-09T00:00:00+00:00,27,24,36,0,0,0,8,95,2026-04-09T00:00:00+00:00
2026-04-16T00:00:00+00:00,19,13,43,0,0,0,4,79,2026-04-16T00:00:00+00:00
2026-04-23T00:00:00+00:00,21,25,53,0,0,0,5,104,2026-04-23T00:00:00+00:00
2026-04-30T00:00:00+00:00,19,36,63,0,0,0,10,127,2026-04-30T00:00:00+00:00
2026-05-07T00:00:00+00:00,26,18,63,0,0,0,4,110,2026-05-07T00:00:00+00:00
2026-05-14T00:00:00+00:00,13,21,53,0,0,0,7,94,2026-05-14T00:00:00+00:00
2026-05-21T00:00:00+00:00,24,20,55,0,0,0,4,102,2026-05-21T00:00:00+00:00
